T,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,th13,th14,th15,th16,th17,th18,th19,th20,th21,th22,th23,th24,th25,th26,th27,th28,th29,th30,th31,th32,th33,th34,th35,th36,th37,th38,th39,th40,th41,th42,th43,th44
0.21000000000000002,0.0010811655823114703,0.0011127707778658803,0.002264151692462102,0.0030357987078676054,0.002920497071062827,0.0011704473050872537,0.0014038686648522602,0.0012549367525858106,0.0017785869244100563,0.0010002874409860982,0.002227542043982194,0.003432239121058934,0.00486724455433241,0.0032432489619430216,0.0009144407331249592,0.0010980873437518343,0.0012623528066420546,0.000648953294959375,0.0035770839387093676,0.001475403202224549,0.0005007729713704589,0.0009809336624756015,0.003523354800563099,0.0011969570673508935,0.001088470842926096,0.0014951611484386306,0.008201007598794828,0.0024220785223313724,0.0035806653580448327,0.002028963267336278,0.0014601824395113821,0.0009991036660286531,0.0016166198272551937,0.002488527057294685,0.001500220054143347,0.002221358682417596,0.0014954528057151428,0.0011022545962405673,0.00337927151901888,0.002338803715402279,0.0012777995998805363,0.0038112143080267164,0.002772999658008457,0.0033057496009476052
0.22,0.0011802274312875925,0.0012050159080634118,0.002964970266365522,0.0033662501716508605,0.00305906148126638,0.001293234879538557,0.001616080528375664,0.001323474328664705,0.001993123802184779,0.0012085598978241639,0.0028613336370414935,0.0036778043611508347,0.005628329252664697,0.0037916302833424574,0.001010817437320236,0.001312634924258223,0.0014588035640124835,0.000723075553745163,0.003534735825351319,0.0017917444111591508,0.0005772806066807997,0.0012264993538685797,0.003318792313533029,0.001625973268948384,0.0012892737074916383,0.0017525844507117175,0.008654616795553904,0.00241901628406487,0.003945828718771541,0.0018094423156671117,0.001708480611395117,0.0010629900945439363,0.0016470995960439535,0.002369146118547744,0.001830191392843044,0.002569991695498165,0.0017150098263654418,0.0009776827675897666,0.0031056054535123214,0.002650206668307361,0.0014189907767680635,0.004719187620855254,0.0032169426484191395,0.004067652639560258
0.23,0.0011920364056727606,0.0012828871350202072,0.003094241382847525,0.0034394194458183917,0.003414298592422359,0.0014462505973485197,0.001717905084956434,0.0012964321631810161,0.00202119070808485,0.0013399337653684838,0.004162337330049464,0.0038111738964598536,0.005893620654076575,0.004086035242819143,0.0010805904869393634,0.0014181937396543687,0.0014388938314974658,0.0007399217217632773,0.0036113359592568344,0.0019789954780194035,0.0006504809254799099,0.0013247918121153915,0.004185377765845036,0.0018346330632358697,0.0015210150789242885,0.0019608544251181895,0.008957857360859573,0.0022184592347460398,0.004019031750099295,0.0017007100787496479,0.001613941144043149,0.0012551441801270527,0.0017886806607051687,0.0024361139036716893,0.002115178223164383,0.0030442255200052414,0.001602108208129476,0.000981113166068337,0.003639839749427056,0.003102510370505659,0.001925004245736893,0.005206554507764759,0.0035194140645632204,0.004754743608118284
0.24000000000000002,0.0010808378330991407,0.0013013497459867021,0.0031328943511088414,0.0033023199586408674,0.0038391744142248505,0.0016419201085369837,0.0017254016496858996,0.0010774407608873915,0.002061409665073048,0.001420825436564867,0.0052274744237515,0.005117984760327711,0.006124506853404428,0.004109025501822845,0.0011910745161772187,0.0014433435652903238,0.0017109382712732005,0.0009426680619358554,0.003083877849717455,0.002022636586028332,0.0008405973890575918,0.0013183753443081166,0.005167366839446803,0.0017915329478644518,0.0017019794527945874,0.0021992092661115184,0.009184009725457944,0.0018123128574612198,0.004258833922393639,0.0019841817560612607,0.0014442895883611563,0.0013335089122002621,0.00185049601903703,0.002626405660956093,0.0020954723908735077,0.0038325441863289633,0.0015780882684892756,0.0012505332478566708,0.00441344522029099,0.0034953177773366525,0.002258536955176122,0.005360273817089613,0.004343379584548233,0.005062437584276175
0.25,0.0012866225231080396,0.0014911641211034165,0.003132395190517821,0.003192064337199243,0.004701113565297557,0.0019067935014668164,0.0018429169677497592,0.0011356886364771444,0.0022159367442218096,0.0017588877201363989,0.005094793761606397,0.006333551738748033,0.006228488032576152,0.0045921992435927535,0.0012841420286702082,0.0014655218278305478,0.0021079592329572225,0.001311178562264862,0.0029652372036972157,0.0023109398125289713,0.0009684582317114594,0.0013366494365036118,0.005893178013517624,0.0018341700124138317,0.0018878032710471014,0.002112472904024253,0.009109317251653728,0.0016734692836013322,0.00474017476722865,0.002410800739992383,0.0015106270890384748,0.0012615970858241505,0.0018619905609928687,0.002778452964700495,0.0019546418794993705,0.004554302755288293,0.001883915190719844,0.0014994780824600523,0.00519660209366336,0.00445525668052447,0.002418100407108339,0.006063556144004694,0.006223143665563686,0.0053416177837765045
0.26,0.0017551829863506493,0.001722289191734971,0.0028912476433530774,0.0031676743755188175,0.00557828048197135,0.002046752704933697,0.0019726120231783706,0.0013908122655234684,0.0029649082634983994,0.0020097600003648017,0.004960420454174929,0.006972397872858391,0.00585818658021797,0.004598595121250855,0.0016133793276290826,0.0015064326464446878,0.002623366556598491,0.0016395077074526769,0.0036168337970350984,0.002855146354980142,0.0009556159655248527,0.0014088238985322835,0.006664743748634402,0.0020470322670602488,0.0023500573786040205,0.002029089078115507,0.008640321113940638,0.0019523043962588384,0.00494631175611336,0.0026517745838668286,0.0017029605352853671,0.001578309927001972,0.002150731955456965,0.002734042637483287,0.0021706683593048794,0.00524139839904193,0.0021078815399885463,0.0017496097115766327,0.005837719055947201,0.004686028464961966,0.002524498534117722,0.005430323832056847,0.0076807339107008215,0.005829782019153735
0.27,0.002109042258935087,0.0018451650397551182,0.0029024635099697215,0.0032466449720308585,0.005963345748737642,0.002049135286023693,0.0017892596830759709,0.001720764021807814,0.003257885547608944,0.0018955500129791897,0.004377594226208388,0.0067023069352326985,0.006036862361563949,0.004690279710792265,0.001695671115334974,0.0015310862899981816,0.0028594045542257125,0.001926917682811184,0.004251022254591316,0.0030285445336994477,0.000893963208458252,0.0015315319420777607,0.00694823244256426,0.0022782901016617633,0.003047207050705139,0.002309891476568264,0.007979473290736004,0.0022613535164558774,0.005036841890623275,0.003035411129141693,0.00191515149002867,0.0016348055737806582,0.002654955758568158,0.002430306219714811,0.0023878379412605706,0.005804001411642908,0.0023571217611909586,0.0018719729382323776,0.006505089139938316,0.004738118813705952,0.002519010325080801,0.0052933057394320285,0.007836169623256457,0.006361506378193803
0.28,0.0021832818558670465,0.0020565395793229347,0.0031301278080573276,0.003410594447185524,0.006342372652575655,0.0020761258242519534,0.001604908547825199,0.0019201135966261738,0.003626400345167946,0.002056525432614471,0.004351495248559025,0.006825283430222178,0.006811052107307426,0.005486794921178448,0.0016495386776414012,0.0017736058953598788,0.003126492519826414,0.0021789313644652547,0.0042582584840605954,0.0029302867401621393,0.0009300662363791915,0.0018475318689808182,0.007319810808569976,0.0024837345642198493,0.003297369687935947,0.002627343540410661,0.008994094326620539,0.002787313503360377,0.005456702209754266,0.003431452551616058,0.0019092958598705303,0.0016232336005786365,0.0031991348800815174,0.0025703361837074103,0.002606158723384822,0.006040013809487108,0.003240315280016115,0.0021980618560077736,0.007062709673105065,0.004957367143604704,0.0024160475095712426,0.005866439679824383,0.006818323290027706,0.006664427756328043
0.29000000000000004,0.001929916295769826,0.002398618326138987,0.003495366470961202,0.003933833399310397,0.006904276605183986,0.0023371554743512233,0.001705289103672678,0.0018261886268970142,0.003576348076054659,0.0024830259604698736,0.0051645733972051746,0.0070720946391364305,0.0068578292392789016,0.006271760995771269,0.0017917504007549118,0.0023130071503000013,0.0032871024517861446,0.0023333643810494907,0.0038584481860484293,0.00291030659961181,0.0008540920558372324,0.0018680371769707513,0.008234000753475043,0.002909595679804484,0.003076711933962713,0.0025594653790918212,0.008585966065872782,0.0034709406093288504,0.005918270005463834,0.003840263898951289,0.0017656365774693194,0.0015045278339182815,0.003533794458735002,0.0031143926115866486,0.0028655700906168717,0.006247614810302276,0.0035831075465468567,0.0025759521114544865,0.008047790233362991,0.005130967489222589,0.0023537006897736677,0.006400201208570896,0.006380950206091777,0.006867636077480697
0.3,0.0019038609930851571,0.0025883766254110488,0.004085566359839475,0.004609466883709921,0.00779719658811722,0.0027818357568733048,0.001861687760127264,0.0022650148209512728,0.004339949109310833,0.0027234883110721915,0.004666650856856168,0.007725912897288928,0.007909163966553074,0.006567707412933094,0.0019363567596575547,0.0027524969870223563,0.003497168817269623,0.0023515552781636704,0.0036847215786004438,0.0027467600349053776,0.0009033124574549472,0.001622874346324437,0.008863998256386148,0.003654744730823478,0.0030585574642399793,0.003170405143057265,0.00874628787735777,0.0040437127457520145,0.006334565193906324,0.0038257191572699752,0.0020348497250123635,0.0014203667785267413,0.003488439637844947,0.003923980108360294,0.0031519647670640947,0.006420454672178356,0.003388962156450783,0.0028209145461391117,0.009088919906109712,0.00512712975262078,0.0024955366836536784,0.006445576152085129,0.006286153244077529,0.007083160300411143
