T,Sa,E,Fy,uy,R,maxDisp,maxVel,maxAccel,Ec,Ev,maxReaction,CD,CPD,resDisp,solving_converge,iter_converge,n_iter,miu,tol_ductility,tol_R
1.8,0.3760606489761925,12.184696791468344,869.7496714924838,71.38049361240385,4.2373046875,142.75748465768035,461.64470256111093,1010.3466715811596,421226.06299138325,343251.09651620314,1010.3466715811388,4884.56068196779,493.98747422425515,44.591152150502,1.0,1.0,14.0,1.9999509310324137,2.4534483793137163e-05,0.0023020257826887663
1.82,0.36358905728654883,11.918372661622216,838.2491316252887,70.33251563986539,4.250732421875,140.6682926582561,453.7126255125313,978.0401493218747,398637.8261015602,322281.20340016676,978.0401493218656,4736.849802538517,485.076322233371,43.0048514264404,1.0,1.0,14.0,2.000046370849893,2.318542494639253e-05,0.0005741846577859439
1.84,0.35619334131560165,11.660685729075327,802.7559190995061,68.8429426665599,4.348388671875,137.6947401163159,443.746696130294,941.0243078462449,375858.1623120949,300985.4212477371,941.0243078462593,4584.116751821781,477.53421953719067,43.43003654537372,1.0,1.0,14.0,2.000128622961964,6.431148098196005e-05,0.0005612932195779075
1.86,0.34908542891485184,11.41126650605776,765.0452273960082,67.04297257362957,4.4716796875,134.07404363681215,434.60751958397384,901.1236070652499,354916.21479034313,280245.781734091,901.1236070652499,4426.043343735647,472.8760560649905,46.46208932796315,1.0,1.0,14.0,1.9998224793741965,8.876031290172559e-05,0.002181500872600349
1.8800000000000001,0.34080314372456044,11.169765053292616,712.8399161908621,63.818702791848935,4.685302734375,127.64745112943879,425.15655140561387,845.2701979737608,334377.93720752856,257426.99226546913,845.2701979737751,4257.097563537876,477.6037097220529,47.82760999353484,1.0,1.0,14.0,2.0001574075514146,7.870377570728948e-05,0.0005209418628881017
1.9000000000000001,0.3314034687739718,10.935849751899562,704.746787421183,64.44371524935848,4.6083984375,128.90289781590806,429.9035371392221,837.7766639142933,320507.0983280727,247799.52339325438,837.7766639143051,4162.639281109685,462.39382485404747,47.30300065328136,1.0,1.0,14.0,2.0002400128101128,0.00012000640505638316,0.0021168501270110076
1.9200000000000002,0.3208079694297958,10.709206164376472,696.2309980151139,65.01238162087908,4.515625,130.01204206699197,433.69668966599977,829.6829669152789,306291.4283536326,239466.04256813985,829.6829669152958,4076.4339294481288,446.74554435999767,45.931692017680824,1.0,1.0,14.0,1.9998043268920622,9.783655396888857e-05,0.034013605442176874
1.94,0.3090801445832595,10.48953597735079,686.5543836914229,65.45135887553505,4.411865234375,130.9237516300017,437.6748077392311,820.3276952373267,292756.9687704063,231872.1135440596,820.3276952373362,4005.232413609623,432.8381978120085,41.271400146605124,1.0,1.0,14.0,2.0003213665734827,0.00016068328674134769,0.0005532197388802832
1.96,0.2965134173900619,10.276556019459974,676.419969582348,65.82165934788466,4.2958984375,131.63742822961285,444.64114553850493,810.395487351459,278920.43099082354,224804.74276927684,810.3954873514688,3939.2370772148292,418.7519323799114,34.81218312345924,1.0,1.0,14.0,1.9999105086955444,4.474565222778448e-05,0.002270663033605813
1.98,0.2832984054522761,10.069997348320944,665.5638905290134,66.09375032655679,4.17138671875,132.20803220813713,451.0303904085302,799.5682049209422,265057.0780627532,217867.95291632036,799.5682049209656,3871.7266540842234,404.8885214541829,27.31333216055227,1.0,1.0,14.0,2.000310642911351,0.0001553214556755389,0.001169864295741694
2.0,0.27004604228263435,9.869604401089358,654.1466522273109,66.27891307934384,4.045654296875,132.5668202216925,456.9809438062016,788.0867598277173,251325.93053666857,211064.55763056062,788.0867598276855,3799.8511258481285,391.0994826901223,19.090537124783765,1.0,1.0,14.0,2.0001357002187716,6.785010938581415e-05,0.0006032818532818533
