T,Sa,E,Fy,uy,R,maxDisp,maxVel,maxAccel,Ec,Ev,maxReaction,CD,CPD,resDisp,solving_converge,iter_converge,n_iter,miu,tol_ductility,tol_R
1.9200000000000002,0.25483668119697533,10.709206164376472,386.58407111910054,36.09829385907698,6.460171699523926,144.3931606669794,639.5514865801681,587.0599101856351,240723.63998938867,132977.61649543178,587.059910185649,2721.2945164224534,634.4225669676566,59.00112853754664,1.0,1.0,24.0,3.99999959085799,1.022855025123448e-07,1.4762357052406073e-06
1.94,0.2493217920938057,10.48953597735079,380.78458997582874,36.30137603779864,6.416629314422607,145.205498181341,638.0305593387458,578.2892028766591,237425.94692835485,132958.1320281252,578.2892028766437,2751.612914422056,635.5424194034487,54.95898076686422,1.0,1.0,24.0,3.999999835547458,4.111313545163142e-08,7.431268936731068e-07
1.96,0.24378441746869617,10.276556019459974,375.53424946844996,36.54281149806684,6.361835956573486,146.17126322259244,636.6530942317629,570.1622084209441,233997.0103734777,132977.03589374214,570.1622084209455,2783.969345982695,635.2408670424612,50.37073768968844,1.0,1.0,24.0,4.000000471510658,1.1787766451831772e-07,7.495273106015691e-07
1.98,0.23803737824733012,10.069997348320944,370.9334161325115,36.835502860818565,6.2889084815979,147.34202756761636,635.5191516392526,562.799159360315,230967.904667345,132667.86162121518,562.7991593603367,2806.0322513690107,635.0142413473818,43.16582692232385,1.0,1.0,24.0,4.0000004377391605,1.0943479011871204e-07,7.582189800104665e-07
2.0,0.23230363217724365,9.869604401089358,366.6249816882103,37.14687709749988,6.209548473358154,148.5875148039808,634.3853276543529,555.78372863693,227804.8486023272,132463.51628079018,555.7837286369654,2824.6954539773337,633.8068481293661,34.912897826914595,1.0,1.0,24.0,4.000000172665424,4.316635604517671e-08,7.679092564703266e-07
2.02,0.2264984831347474,9.675134203597056,362.8461217465016,37.50295490594863,6.117428302764893,150.0118045130361,633.3913682730793,549.3791922882758,224465.56930119652,132491.46240327935,549.3791922882327,2856.4645539725047,631.139469653499,26.834867673187212,1.0,1.0,24.0,3.999999597078192,1.0073045197955821e-07,7.794729235270028e-07
2.04,0.22069376294782272,9.486355633496114,359.18649576463116,37.863486215544306,6.021381378173828,151.45394818632857,632.4070951507172,543.1562883429615,220923.99602778588,132627.9553621027,543.1562883430213,2906.4454853680395,627.365204560135,19.2842245433851,1.0,1.0,24.0,4.000000087793061,2.1948265205296025e-08,6.335232636077629e-06
2.06,0.21493397925820282,9.303048733235325,355.70281813642,38.23508059950978,5.921665191650391,152.94031492482068,631.4154603245702,537.1577886966656,217270.21577515788,132754.27950702116,537.1577886967212,2959.4327193582217,622.7558302082064,12.397591189402037,1.0,1.0,23.0,3.9999998045455034,4.886362414691092e-08,6.441912629627387e-06
2.08,0.2091668774170686,9.12500406905451,352.2872982612466,38.606809991017236,5.8186469078063965,154.42724006586948,630.4984234465139,531.3093619975768,213237.4637269007,132934.39693210475,531.3093619975486,3012.19461472982,617.0274893820125,6.850457692860249,1.0,1.0,23.0,4.000000002636854,6.592135726180004e-10,8.194980214039771e-07
2.1,0.20351929761626938,8.952022132507354,348.9096343541582,38.97551069351889,5.716348648071289,155.90205937820934,629.5104157382563,525.5331807944026,208869.2224143555,133131.1481873078,525.5331807944639,3064.186641128592,610.2595897995,2.819852086101885,1.0,1.0,23.0,4.000000426014528,1.0650363191366807e-07,3.3366499633969497e-06
